City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,ust-nera,64.5667,143.2,-30.42,95,32,0.81,RU,1741798489
261,puerto berrio,6.4916,-74.4033,83.59,75,94,3.13,CO,1741798490
262,novopetrovskoye,55.9928,36.4719,43.74,99,100,2.51,RU,1741798491
263,ecoporanga,-18.3733,-40.8306,90.99,42,61,4.41,BR,1741798492
264,namibe,-15.1961,12.1522,77.59,81,36,9.6,AO,1741798493
265,ribadesella,43.4614,-5.0596,53.04,83,80,9.08,ES,1741798495
266,val-d'or,48.1002,-77.7828,14.09,52,20,8.05,CA,1741798283
267,ilulissat,69.2167,-51.1,39.22,45,75,9.22,GL,1741798497
268,san buenaventura,27.0833,-101.5333,92.48,10,0,14.79,MX,1741798498
269,belmonte,-15.8631,-38.8828,84.85,58,0,7.56,BR,1741798499
270,baxter,46.3433,-94.2867,44.06,43,0,4.61,US,1741798501
271,coquimatlan,19.2,-103.8,90.54,31,4,5.64,MX,1741798413
272,howard springs,-12.497,131.047,76.91,100,100,4.05,AU,1741798503
273,buk,52.3553,16.5196,46.94,76,100,8.93,PL,1741798504
274,wanning,18.8003,110.3967,72.03,96,55,4.59,CN,1741798505
275,la'ie,21.6477,-157.9253,73.11,79,16,8.99,US,1741798506
276,piacabucu,-10.4056,-36.4344,83.79,64,72,12.33,BR,1741798383
277,mazatlan,23.2167,-106.4167,74.91,39,0,4.0,MX,1741798508
278,kristiansund,63.1115,7.732,37.13,75,75,4.61,NO,1741798509
279,kirensk,57.7853,108.1119,2.34,98,93,0.29,RU,1741798510
280,ola,59.5833,151.2833,-13.4,88,20,7.14,RU,1741798511
281,akjoujt,19.6969,-14.4164,89.42,11,1,11.83,MR,1741798512
282,port saint john's,-31.6229,29.5448,74.86,83,42,12.59,ZA,1741798513
283,puerto aysen,-45.4,-72.7,62.96,77,77,1.99,CL,1741798505
284,antalaha,-14.9003,50.2788,78.66,85,100,4.68,MG,1741798515
285,talcahuano,-36.7167,-73.1167,76.68,33,0,10.36,CL,1741798516
286,iskateley,67.6803,53.1512,8.31,95,23,7.96,RU,1741798517
287,comodoro rivadavia,-45.8667,-67.5,69.66,30,0,13.8,AR,1741798478
288,kapit,2.0167,112.9333,73.81,100,99,1.7,MY,1741798519
289,nouadhibou,20.931,-17.0347,71.58,53,0,19.57,MR,1741798330
290,nogliki,51.8333,143.1667,23.07,91,100,12.77,RU,1741798521
291,den burg,53.0542,4.7972,42.76,70,40,6.91,NL,1741798522
292,tucuma,-0.1833,-50.05,74.37,98,100,5.03,BR,1741798523
293,zhigalovo,54.8097,105.1578,-4.13,100,69,0.69,RU,1741798525
294,indramayu,-6.3264,108.32,80.06,84,100,6.02,ID,1741798526
295,antsiranana,-12.2787,49.2917,77.72,89,99,6.55,MG,1741798527
296,zarate,-34.0981,-59.0286,60.93,59,100,5.99,AR,1741798270
297,mao,39.8885,4.2658,59.56,63,20,12.66,ES,1741798529
298,okahao,-17.885,15.0667,87.3,34,60,5.84,NA,1741798530
299,ta`u,-14.2336,-169.5144,81.97,77,17,8.32,AS,1741798531
300,port moresby,-9.4431,147.1797,76.53,89,100,3.65,PG,1741798532
301,flin flon,54.7682,-101.865,6.64,78,100,4.61,CA,1741798534
302,sharm el-sheikh,27.8518,34.305,86.14,25,0,5.75,EG,1741798535
303,gadzhiyevo,69.2551,33.3362,13.21,89,81,5.66,RU,1741798536
304,guantanamo,20.1444,-75.2092,89.17,48,46,4.32,CU,1741798537
305,saint-pierre,-21.3393,55.4781,82.08,74,0,6.91,RE,1741798538
306,holualoa,19.6228,-155.9522,66.04,84,0,3.44,US,1741798539
307,lhokseumawe,5.1801,97.1507,78.53,88,100,4.07,ID,1741798540
308,salem,11.65,78.1667,75.54,89,83,3.13,IN,1741798454
309,tokar,18.4254,37.729,76.55,68,10,11.43,SD,1741798542
310,kathu,7.9178,98.3332,80.42,76,100,7.09,TH,1741798543
311,talnakh,69.4865,88.3972,0.0,76,100,18.3,RU,1741798544
312,sorong,-0.8833,131.25,79.11,83,100,4.56,ID,1741798545
313,stargard,53.3367,15.0499,44.8,77,100,1.01,PL,1741798547
314,floro,61.5996,5.0328,40.96,48,20,11.5,NO,1741798548
315,buala,-8.145,159.5921,79.9,79,48,4.03,SB,1741798549
316,barabai,-2.5833,115.3833,74.52,98,100,2.55,ID,1741798550
317,sisimiut,66.9395,-53.6735,37.54,79,100,15.26,GL,1741798551
318,aleksandrovsk-sakhalinskiy,50.8975,142.1561,21.69,91,100,7.94,RU,1741798552
319,hamilton,39.1834,-84.5333,69.93,43,0,10.36,US,1741798553
320,hithadhoo,-0.6,73.0833,83.16,68,48,5.79,MV,1741798554
321,tura,25.5198,90.2201,70.93,36,1,4.85,IN,1741798555
322,fort william,56.8165,-5.1121,45.3,60,100,7.05,GB,1741798556
323,coquimbo,-29.9533,-71.3436,73.98,57,75,13.8,CL,1741798532
324,novoishimskiy,53.1981,66.7694,26.83,89,100,17.69,KZ,1741798558
325,alofi,-19.0595,-169.9187,75.09,100,39,2.3,NU,1741798559
326,santander jimenez,24.2167,-98.4667,80.67,43,0,6.49,MX,1741798562
327,patnongon,10.9132,121.9937,79.92,77,5,6.24,PH,1741798563
328,bikin,46.8161,134.26,32.22,99,100,3.27,RU,1741798564
329,cacheu,12.2706,-16.1658,102.78,13,15,7.05,GW,1741798462
330,pisco,-13.7,-76.2167,74.01,83,20,9.22,PE,1741798566
331,north bend,43.4065,-124.2243,47.25,93,100,11.5,US,1741798567
332,kandi,11.1342,2.9386,105.26,12,67,1.54,BJ,1741798568
333,cromwell,41.5951,-72.6454,52.07,37,0,12.66,US,1741798108
334,calvinia,-31.4707,19.776,86.34,17,0,11.32,ZA,1741798570
335,tazacorte,28.629,-17.9293,70.77,97,75,8.99,ES,1741798571
